0,88	-3,14	0,04567
0,88	-4,14	0,14890
0,88	-5,15	0,22223
0,88	-6,14	0,14685
3,436	-3,14	0,13761
3,436	-4,14	0,29773
3,436	-5,15	0,38605
5,848	-3,14	0,09393
5,848	-4,14	0,22594
5,848	-5,15	0,34134
5,848	-6,14	0,39794
8,485	-3,14	0,03066
8,485	-4,14	0,11018
8,485	-5,15	0,13913
11,008	-3,14	-0,11195
11,008	-4,14	-0,03747
11,008	-5,15	0,00834
13,418	-3,14	-0,19573
13,418	-4,14	-0,09645
13,418	-5,15	-0,01090
15,712	-3,14	-0,33838
15,712	-4,14	-0,24864
15,712	-5,15	-0,10527
15,712	-6,14	-0,08473
15,712	-7,14	-0,07218
18,135	-3,14	-0,59109
18,135	-4,14	-0,40563
18,135	-5,15	-0,28366
18,135	-6,14	-0,23760
18,135	-7,14	-0,44192
18,135	-8,14	-0,71240
